id,name
20,belize
175,south sudan
171,slovenia
157,romania
216,other south
102,korea rep.
1,afghanistan
81,guyana
116,macedonia fyr
91,ireland
21,benin
66,finland
148,panama
14,bahamas the
38,chad
12,austria
27,brazil
189,tanzania
186,switzerland
67,france
60,equatorial guinea
126,mexico
190,thailand
90,iraq
165,serbia
17,barbados
52,czech republic
28,brunei darussalam
34,cameroon
5,andorra
39,channel islands
15,bahrain
188,tajikistan
113,lithuania
118,malawi
195,tunisia
47,cote d'ivoire
97,jordan
162,sao tome and principe
58,egypt arab rep.
111,libya
96,japan
50,curacao
129,monaco
201,ukraine
193,tonga
145,oman
197,turkmenistan
184,swaziland
79,guinea
125,mauritius
199,tuvalu
120,maldives
41,china
166,seychelles
55,dominica
37,central african republic
187,syrian arab republic
179,st. lucia
36,cayman islands
155,puerto rico
35,canada
137,netherlands
135,namibia
7,antigua and barbuda
208,venezuela rb
82,haiti
117,madagascar
63,ethiopia
147,palau
207,vanuatu
176,spain
103,kosovo
45,congo rep.
203,united kingdom
177,sri lanka
53,denmark
215,other north
30,burkina faso
13,azerbaijan
64,faeroe islands
151,peru
2,albania
198,turks and caicos islands
112,liechtenstein
123,marshall islands
211,west bank and gaza
140,nicaragua
212,yemen rep.
142,nigeria
143,northern mariana islands
146,pakistan
161,san marino
42,colombia
76,grenada
85,hungary
109,lesotho
68,french polynesia
202,united arab emirates
101,korea dem. rep.
33,cambodia
95,jamaica
149,papua new guinea
130,mongolia
18,belarus
106,lao pdr
72,germany
191,timor-leste
194,trinidad and tobago
138,new caledonia
173,somalia
8,argentina
183,suriname
163,saudi arabia
78,guatemala
204,united states
16,bangladesh
144,norway
80,guinea-bissau
128,moldova
150,paraguay
160,samoa
206,uzbekistan
178,st. kitts and nevis
74,greece
110,liberia
40,chile
139,new zealand
169,sint maarten (dutch part)
100,kiribati
158,russian federation
127,micronesia fed. sts.
182,sudan
185,sweden
121,mali
92,isle of man
19,belgium
192,togo
114,luxembourg
43,comoros
54,djibouti
153,poland
75,greenland
51,cyprus
46,costa rica
31,burundi
122,malta
168,singapore
23,bhutan
89,iran islamic rep.
196,turkey
94,italy
73,ghana
105,kyrgyz republic
136,nepal
3,algeria
24,bolivia
29,bulgaria
83,honduras
108,lebanon
134,myanmar
61,eritrea
87,india
93,israel
172,solomon islands
210,virgin islands (u.s.)
119,malaysia
131,montenegro
48,croatia
124,mauritania
141,niger
98,kazakhstan
77,guam
59,el salvador
10,aruba
99,kenya
154,portugal
174,south africa
156,qatar
32,cabo verde
57,ecuador
56,dominican republic
115,macao sar china
181,st. vincent and the grenadines
164,senegal
213,zambia
49,cuba
214,zimbabwe
180,st. martin (french part)
107,latvia
170,slovak republic
71,georgia
159,rwanda
200,uganda
4,american samoa
22,bermuda
69,gabon
62,estonia
65,fiji
104,kuwait
88,indonesia
86,iceland
132,morocco
9,armenia
26,botswana
133,mozambique
11,australia
44,congo dem. rep.
25,bosnia and herzegovina
167,sierra leone
70,gambia the
205,uruguay
152,philippines
6,angola
209,vietnam
217,world
84,hong kong sar china
